iter	MultiClass
0	1.096042929
1	0.8832494716
2	0.7452410145
3	0.6329911499
4	0.5513788135
5	0.4898466218
6	0.436255448
7	0.3944576976
8	0.3593916498
9	0.3289206802
10	0.3061406777
11	0.2833069125
12	0.2650177237
13	0.2501149753
14	0.2359273071
15	0.2246326499
16	0.2144934432
17	0.2046387193
18	0.1967795244
19	0.1892922373
20	0.1823348494
21	0.1759686562
22	0.1705351611
23	0.1650631529
24	0.1598502474
25	0.1543697829
26	0.1503674664
27	0.1466244571
28	0.1422882747
29	0.1388985002
30	0.1358531804
31	0.1322469384
32	0.1282426028
33	0.1247575014
34	0.1221770801
35	0.1190373577
36	0.1160599262
37	0.1142940987
38	0.1121736578
39	0.1095311205
40	0.1071049192
41	0.1052474813
42	0.1031416033
43	0.1007686964
44	0.09942662741
45	0.09717271604
46	0.09501192494
47	0.09346274743
48	0.09194197647
49	0.09069686322
50	0.08921625868
51	0.08766826617
52	0.08625463417
53	0.08500015523
54	0.08370627758
55	0.08225663064
56	0.08115859497
57	0.07992457303
58	0.07872927945
59	0.07759911004
60	0.07623246657
61	0.07489138213
62	0.07377343934
63	0.07283571895
64	0.07187780347
65	0.07101447509
66	0.07008193547
67	0.06931013315
68	0.06888531146
69	0.06805679641
70	0.06717793291
71	0.06637159889
72	0.06550278022
73	0.06476603691
74	0.06405485721
75	0.0631415047
76	0.06184965323
77	0.0610553612
78	0.06065728422
79	0.06005669515
80	0.05905618247
81	0.05815307479
82	0.05748674027
83	0.05694249431
84	0.05625122239
85	0.05562728211
86	0.05500774461
87	0.05437108969
88	0.05378222789
89	0.05321750028
90	0.05274801506
91	0.05216872177
92	0.05142090853
93	0.05088266985
94	0.05021124747
95	0.04952673655
96	0.04892749604
97	0.04821710654
98	0.04766347294
99	0.04728358713
100	0.04695585776
101	0.04640149471
102	0.04589948491
103	0.04541704426
104	0.04501795125
105	0.04466682951
106	0.04412863355
107	0.04373748483
108	0.04325146263
109	0.04274699657
110	0.04215211617
111	0.04172789684
112	0.04125967177
113	0.04092297656
114	0.04066941578
115	0.04037565594
116	0.04012603684
117	0.03982309182
118	0.0393561715
119	0.03895159279
120	0.03850239985
121	0.03808393839
122	0.03783948999
123	0.03737832354
124	0.03716785384
125	0.03691468327
126	0.0364925067
127	0.03612520727
128	0.03581859581
129	0.03552725777
130	0.03519062075
131	0.03496468688
132	0.03444329948
133	0.03424342782
134	0.03386257449
135	0.03347654072
136	0.03310241271
137	0.03279738435
138	0.03249985261
139	0.03230764659
140	0.03209489343
141	0.03187453939
142	0.03153467404
143	0.03135541769
144	0.0309543789
145	0.03064902579
146	0.0304207042
147	0.02999366903
148	0.02977173714
149	0.02945260127
150	0.02926514595
151	0.02901962228
152	0.0287728979
153	0.02861117558
154	0.02828061146
155	0.02803978046
156	0.0278166735
157	0.02765434473
158	0.02740592398
159	0.02718183465
160	0.02697813114
161	0.02676488322
162	0.02659114426
163	0.02640045769
164	0.02614872475
165	0.02594512638
166	0.02583570802
167	0.02555025811
168	0.02536046357
169	0.02518568609
170	0.02489377697
171	0.0247434884
172	0.02454817717
173	0.02438163657
174	0.02420947899
175	0.02404278517
176	0.02388701434
177	0.02368796818
178	0.02355425619
179	0.02341860249
180	0.02321229489
181	0.02305015042
182	0.02290390242
183	0.02274252047
184	0.02246329096
185	0.02234640825
186	0.02216018119
187	0.02205159274
188	0.02183874317
189	0.02164212792
190	0.02149765149
191	0.0213376039
192	0.02122500912
193	0.02107752448
194	0.02095186572
195	0.02083513726
196	0.02074246035
197	0.02062806211
198	0.02050108999
199	0.0203512113
200	0.02022992161
201	0.02011735194
202	0.02004188917
203	0.01990289351
204	0.01973969318
205	0.01962320064
206	0.01943541548
207	0.01932848637
208	0.0191847252
209	0.01910802339
210	0.01897356204
211	0.01889881754
212	0.01879075765
213	0.01865883955
214	0.01855468749
215	0.01838323088
216	0.01827440697
217	0.01819878437
218	0.01810850175
219	0.01804692026
220	0.01797930986
221	0.01784144876
222	0.01776017719
223	0.01768687439
224	0.01759696
225	0.01743250948
226	0.01734675759
227	0.01723199021
228	0.01710820784
229	0.01696748603
230	0.01685684455
231	0.01679560972
232	0.01665244125
233	0.01656204155
234	0.01647355109
235	0.01639260221
236	0.01629972492
237	0.01619238761
238	0.01612118054
239	0.01603691715
240	0.01596170645
241	0.01587787506
242	0.01582548118
243	0.01573352912
244	0.01564929311
245	0.01555634706
246	0.01548247992
247	0.01539808158
248	0.01531134837
249	0.01523242295
250	0.01513637495
251	0.01503936009
252	0.01497088926
253	0.01490989861
254	0.01482877248
255	0.01475753057
256	0.01466779374
257	0.01461412341
258	0.01452442956
259	0.01447009583
260	0.01439618157
261	0.01430959986
262	0.01423192734
263	0.01417125127
264	0.01411366959
265	0.01406442197
266	0.01399488829
267	0.01394436332
268	0.01388305027
269	0.01381201705
270	0.01375631445
271	0.01366184436
272	0.01358630285
273	0.01353978807
274	0.01349141968
275	0.0134373766
276	0.0133788632
277	0.0133255622
278	0.01329422088
279	0.01324895413
280	0.01319773143
281	0.01313961216
282	0.01305363761
283	0.01300878014
284	0.01295289218
285	0.01289238909
286	0.01282264096
287	0.01275362505
288	0.01266243003
289	0.01260522316
290	0.01254460193
291	0.01249755688
292	0.01243713719
293	0.01238563513
294	0.01233516109
295	0.0122830057
296	0.01224888527
297	0.01218931624
298	0.0121479568
299	0.01206880184
