model,condition,accuracy,mcc,f1_macro
XGBoost,Raw Features,0.6831683168316832,0.6078663620970295,0.674798441612467
LightGBM,Raw Features,0.7029702970297029,0.632418226443856,0.6942689043853503
LogisticRegression,Raw Features,0.7326732673267327,0.6716633803938873,0.7195461282171984
XGBoost,FREEFORM Features,0.6633663366336634,0.5826593653599913,0.6560198946979853
LightGBM,FREEFORM Features,0.693069306930693,0.6193307255844385,0.6852305181558547
LogisticRegression,FREEFORM Features,0.6732673267326733,0.5973724795738572,0.6621548503785021
FREEFORM (Stacking),Full Stacking,0.7425742574257426,0.6821354795054084,0.7343835548967176
