model,condition,accuracy,mcc,f1_macro
XGBoost,Raw Features,0.9560878243512974,0.944601648130056,0.9462466636717755
LightGBM,Raw Features,0.9680638722554891,0.9597152291725526,0.9609125569459135
LogisticRegression,Raw Features,0.9700598802395209,0.9622421094461715,0.9638065587041046
XGBoost,FREEFORM Features,0.9660678642714571,0.9572038430119899,0.9595529972052186
LightGBM,FREEFORM Features,0.9660678642714571,0.9572290865026903,0.9595992645483037
LogisticRegression,FREEFORM Features,0.9580838323353293,0.9470938556455489,0.9487527121102497
FREEFORM (Stacking),Full Stacking,0.9600798403193613,0.9498210317515471,0.952345572520018
