iter	MultiClass
0	1.592415885
1	1.578429985
2	1.563464692
3	1.550779762
4	1.542858258
5	1.527984824
6	1.51292614
7	1.49867249
8	1.489236813
9	1.481842522
10	1.475020346
11	1.466129
12	1.45356666
13	1.443895617
14	1.433323144
15	1.419128597
16	1.409740138
17	1.400867262
18	1.393597044
19	1.385515465
20	1.377667742
21	1.369202988
22	1.358157974
23	1.34978211
24	1.343675335
25	1.338077578
26	1.32922714
27	1.321145696
28	1.31342285
29	1.308450532
30	1.300595017
31	1.292065224
32	1.286264264
33	1.278238341
34	1.273900375
35	1.264671186
36	1.254623245
37	1.249296115
38	1.242741893
39	1.237759548
40	1.232718839
41	1.227586543
42	1.221307105
43	1.215126418
44	1.21062945
45	1.205509873
46	1.198675983
47	1.193273845
48	1.186280411
49	1.178471653
50	1.171437457
51	1.166823896
52	1.160345042
53	1.154514085
54	1.148294954
55	1.142840161
56	1.137559581
57	1.13281081
58	1.127210916
59	1.122168832
60	1.116110492
61	1.111000279
62	1.104928527
63	1.099051278
64	1.094441233
65	1.090341114
66	1.085040514
67	1.080255201
68	1.075298347
69	1.071376335
70	1.066579882
71	1.061970419
72	1.056673093
73	1.051245842
74	1.047119318
75	1.042188676
76	1.0374739
77	1.032950191
78	1.028139965
79	1.02343216
80	1.019681278
81	1.016120807
82	1.011848435
83	1.007981063
84	1.003371938
85	0.999704766
86	0.9977005111
87	0.9947540921
88	0.9901863846
89	0.9857750364
90	0.9813155861
91	0.9774767093
92	0.97494044
93	0.9700877072
94	0.965978551
95	0.9612884044
96	0.9589601641
97	0.9559642217
98	0.9520933501
99	0.9485096551
100	0.9450889017
101	0.9418529246
102	0.9390731003
103	0.9368664124
104	0.9332452075
105	0.9298137516
106	0.9258178023
107	0.9236455832
108	0.9203304888
109	0.9181318289
110	0.9142597968
111	0.9113303743
112	0.9077948421
113	0.9058609064
114	0.9035678309
115	0.9006705696
116	0.8982118592
117	0.8953517882
118	0.8918511304
119	0.8890894039
120	0.8867633149
121	0.883693695
122	0.8811062351
123	0.8786000195
124	0.8766355735
125	0.87482491
126	0.8720428612
127	0.8698631754
128	0.8669564981
129	0.8647218766
130	0.86188539
131	0.8599697305
132	0.8573421127
133	0.8546321505
134	0.852251845
135	0.8489157336
136	0.8464186147
137	0.8441804663
138	0.8419300869
139	0.839609183
140	0.8379989211
141	0.8356094411
142	0.8336308501
143	0.831070847
144	0.8294937623
145	0.8274470943
146	0.8253730494
147	0.8233379651
148	0.8213519634
149	0.819634651
150	0.8178293672
151	0.8155066411
152	0.8138416192
153	0.8114048333
154	0.8090359934
155	0.8074891865
156	0.8053454965
157	0.8036686747
158	0.8015573308
159	0.79961117
160	0.7977917056
161	0.7960472723
162	0.7942832276
163	0.7926461488
164	0.7912170561
165	0.7888993234
166	0.787418848
167	0.7855969105
168	0.7837023687
169	0.7819745501
170	0.7802515243
171	0.7786120524
172	0.777318164
173	0.7755707218
174	0.7734989108
175	0.7718760025
176	0.7704957254
177	0.7685882329
178	0.7672972409
179	0.7660528696
180	0.7641879271
181	0.7621401814
182	0.7603278359
183	0.7584219605
184	0.7561607528
185	0.7541054908
186	0.7528000262
187	0.7515713918
188	0.7497597732
189	0.7483051139
190	0.7470082589
191	0.7454151506
192	0.7437389763
193	0.7426716548
194	0.7407999848
195	0.7398469323
196	0.7386841341
197	0.7368169478
198	0.7359623009
199	0.7343803474
200	0.7327969188
201	0.7310407333
202	0.7296175167
203	0.7284109108
204	0.7264411375
205	0.7247326611
206	0.7234279885
207	0.722219247
208	0.7206751702
209	0.7192886139
210	0.7182105239
211	0.7171704766
212	0.7161825944
213	0.7148468703
214	0.7134575228
215	0.7115742926
216	0.7098444396
217	0.7088164461
218	0.7073395228
219	0.7060684098
220	0.7041721787
221	0.7017196459
222	0.7001862864
223	0.6985149216
224	0.6972037032
225	0.6956529519
226	0.6947178702
227	0.6936532181
228	0.6922219497
229	0.6916848334
230	0.6905988286
231	0.689425988
232	0.6884636082
233	0.6869405513
234	0.6858932463
235	0.6846879584
236	0.6836791902
237	0.6826427474
238	0.6812557232
239	0.6800358984
240	0.678729371
241	0.6774885056
242	0.6761592803
243	0.6750185714
244	0.6736505321
245	0.6727237841
246	0.6712712267
247	0.6700938084
248	0.6691775179
249	0.6673775606
250	0.6664784852
251	0.664993151
252	0.664160947
253	0.6629972651
254	0.6618250845
255	0.6605482002
256	0.6591763156
257	0.6580127173
258	0.6565472971
259	0.6552804924
260	0.6542044199
261	0.6530038318
262	0.6520722447
263	0.6511663116
264	0.6498199747
265	0.6487220766
266	0.6477171537
267	0.6465760183
268	0.6453489643
269	0.6442630904
270	0.643022241
271	0.6416250497
272	0.6405030264
273	0.639588681
274	0.6386445192
275	0.6375045898
276	0.6364664595
277	0.6355323792
278	0.6341542435
279	0.6332365726
280	0.6324965806
281	0.6315296428
282	0.6302052531
283	0.6289450243
284	0.6278553228
285	0.6265546555
286	0.625477673
287	0.6245234022
288	0.6234566454
289	0.6225206504
290	0.6213749383
291	0.6203113292
292	0.6194756481
293	0.6177871803
294	0.61667229
295	0.6156136689
296	0.614558039
297	0.613409064
298	0.612507586
299	0.6117760157
300	0.6104928009
301	0.6090962297
302	0.608259072
303	0.607467063
304	0.6061975442
305	0.6049962987
306	0.6039747456
307	0.6025414812
308	0.601531835
309	0.6004763504
310	0.5994239762
311	0.59822915
312	0.597227042
313	0.5962663597
314	0.595148503
315	0.5942427344
316	0.5931675619
317	0.5925783803
318	0.5914760498
319	0.5902123582
320	0.5892798343
321	0.5884574429
322	0.5873498049
323	0.5862875069
324	0.5850576796
325	0.5841371105
326	0.5828340699
327	0.5818828603
328	0.5808487996
329	0.5798077177
330	0.5787541073
331	0.5779027704
332	0.5769190483
333	0.5760466003
334	0.5750569458
335	0.5743327892
336	0.5735097148
337	0.572432442
338	0.571417062
339	0.5705183999
340	0.5696743514
341	0.5686537535
342	0.5677094275
343	0.5668359899
344	0.5660211075
345	0.5653052406
346	0.5642572639
347	0.5632312948
348	0.5623332339
349	0.5614045564
350	0.5605845228
351	0.5597375344
352	0.5588909333
353	0.5580671465
354	0.5574303483
355	0.5564089011
356	0.5557086167
357	0.5547856133
358	0.5542001885
359	0.5532653263
360	0.5522367302
361	0.5514521269
362	0.5504886404
363	0.5495781634
364	0.5487751189
365	0.5480744826
366	0.5474432768
367	0.546556913
368	0.5457229772
369	0.5448556699
370	0.5438224647
371	0.5432868355
372	0.5421302359
373	0.5412378106
374	0.5405515508
375	0.5398297724
376	0.5388429155
377	0.5379809608
378	0.5372716516
379	0.5365219763
380	0.535686906
381	0.5350274585
382	0.5342905743
383	0.5336013447
384	0.5326489663
385	0.5319629373
386	0.5310735631
387	0.530119409
388	0.5293039494
389	0.5284454877
390	0.5275662691
391	0.5267727023
392	0.526069446
393	0.5250359318
394	0.5242709504
395	0.5234644069
396	0.5226340064
397	0.5217277214
398	0.5209072272
399	0.520119762
400	0.5192246663
401	0.5186852459
402	0.5178960565
403	0.5172603928
404	0.5165226972
405	0.5158594185
